yr,mon,arr_hour,delay_type,type_count
2010,5,22,Severe,3595
2010,5,23,None,10385
2010,5,23,Slight,4830
2010,5,23,Moderate,2820
2010,5,23,Severe,2445
2010,6,0,None,1812
2010,6,0,Slight,1071
2010,6,0,Moderate,746
2010,6,0,Severe,700
2010,6,1,None,360
2010,6,1,Slight,158
2010,6,1,Moderate,84
2010,6,1,Severe,88
2010,6,2,None,57
2010,6,2,Slight,20
2010,6,2,Moderate,10
2010,6,2,Severe,10
2010,6,3,None,48
2010,6,3,Slight,24
2010,6,3,Moderate,4
2010,6,3,Severe,4
2010,6,4,None,301
2010,6,4,Slight,73
2010,6,4,Moderate,29
2010,6,4,Severe,9
2010,6,5,None,1952
2010,6,5,Slight,809
2010,6,5,Moderate,355
2010,6,5,Severe,252
2010,6,6,None,5368
2010,6,6,Slight,1444
2010,6,6,Moderate,593
2010,6,6,Severe,447
2010,6,7,None,14390
2010,6,7,Slight,2643
2010,6,7,Moderate,679
2010,6,7,Severe,533
2010,6,8,None,19902
2010,6,8,Slight,3892
2010,6,8,Moderate,1109
2010,6,8,Severe,881
2010,6,9,None,25798
2010,6,9,Slight,6050
2010,6,9,Moderate,1652
2010,6,9,Severe,1289
2010,6,10,None,24596
2010,6,10,Slight,7080
2010,6,10,Moderate,2257
2010,6,10,Severe,1574
2010,6,11,None,22423
2010,6,11,Slight,7241
2010,6,11,Moderate,2416
2010,6,11,Severe,1673
2010,6,12,None,23326
2010,6,12,Slight,8451
2010,6,12,Moderate,3108
2010,6,12,Severe,2096
2010,6,13,None,20392
2010,6,13,Slight,8085
2010,6,13,Moderate,3204
2010,6,13,Severe,2214
2010,6,14,None,21130
2010,6,14,Slight,8868
2010,6,14,Moderate,3808
2010,6,14,Severe,2523
2010,6,15,None,17804
2010,6,15,Slight,8386
2010,6,15,Moderate,3741
2010,6,15,Severe,2684
2010,6,16,None,19888
2010,6,16,Slight,10537
2010,6,16,Moderate,4934
2010,6,16,Severe,3557
2010,6,17,None,16854
2010,6,17,Slight,9359
2010,6,17,Moderate,5012
2010,6,17,Severe,3899
2010,6,18,None,17020
2010,6,18,Slight,9105
2010,6,18,Moderate,5596
2010,6,18,Severe,4840
2010,6,19,None,15132
2010,6,19,Slight,8795
2010,6,19,Moderate,5477
2010,6,19,Severe,4905
2010,6,20,None,16619
2010,6,20,Slight,9273
2010,6,20,Moderate,6469
2010,6,20,Severe,6061
2010,6,21,None,13045
2010,6,21,Slight,6955
2010,6,21,Moderate,4954
2010,6,21,Severe,4933
2010,6,22,None,11705
2010,6,22,Slight,6620
2010,6,22,Moderate,4633
2010,6,22,Severe,4652
2010,6,23,None,9333
2010,6,23,Slight,5423
2010,6,23,Moderate,3854
2010,6,23,Severe,3446
2010,7,0,None,1829
2010,7,0,Slight,1187
2010,7,0,Moderate,846
2010,7,0,Severe,640
2010,7,1,None,436
2010,7,1,Slight,209
2010,7,1,Moderate,127
2010,7,1,Severe,108
2010,7,2,None,34
2010,7,2,Slight,25
2010,7,2,Moderate,14
2010,7,2,Severe,21
2010,7,3,None,38
2010,7,3,Slight,25
2010,7,3,Moderate,18
2010,7,3,Severe,12
2010,7,4,None,363
2010,7,4,Slight,85
2010,7,4,Moderate,25
2010,7,4,Severe,21
2010,7,5,None,2131
2010,7,5,Slight,905
2010,7,5,Moderate,442
2010,7,5,Severe,318
2010,7,6,None,5815
2010,7,6,Slight,1491
2010,7,6,Moderate,543
2010,7,6,Severe,453
