yr,mon,dep_hour,delay_type,type_count
2010,6,19,Moderate,5541
2010,6,19,Severe,5854
2010,6,20,None,9556
2010,6,20,Slight,4169
2010,6,20,Moderate,3680
2010,6,20,Severe,3687
2010,6,21,None,8734
2010,6,21,Slight,3730
2010,6,21,Moderate,3047
2010,6,21,Severe,2761
2010,6,22,None,5107
2010,6,22,Slight,1964
2010,6,22,Moderate,1277
2010,6,22,Severe,995
2010,6,23,None,2085
2010,6,23,Slight,770
2010,6,23,Moderate,486
2010,6,23,Severe,356
2010,7,0,None,731
2010,7,0,Slight,244
2010,7,0,Moderate,142
2010,7,0,Severe,67
2010,7,1,None,524
2010,7,1,Slight,130
2010,7,1,Moderate,56
2010,7,1,Severe,24
2010,7,2,None,75
2010,7,2,Slight,23
2010,7,2,Moderate,6
2010,7,2,Severe,6
2010,7,3,None,21
2010,7,3,Slight,16
2010,7,3,Moderate,13
2010,7,3,Severe,11
2010,7,4,None,0
2010,7,4,Slight,0
2010,7,4,Moderate,0
2010,7,4,Severe,0
2010,7,5,None,3505
2010,7,5,Slight,981
2010,7,5,Moderate,201
2010,7,5,Severe,164
2010,7,6,None,30344
2010,7,6,Slight,7810
2010,7,6,Moderate,1970
2010,7,6,Severe,1163
2010,7,7,None,29505
2010,7,7,Slight,8611
2010,7,7,Moderate,2913
2010,7,7,Severe,1642
2010,7,8,None,27161
2010,7,8,Slight,8882
2010,7,8,Moderate,3335
2010,7,8,Severe,1807
2010,7,9,None,23789
2010,7,9,Slight,7479
2010,7,9,Moderate,3199
2010,7,9,Severe,1884
2010,7,10,None,25145
2010,7,10,Slight,8824
2010,7,10,Moderate,4136
2010,7,10,Severe,2192
2010,7,11,None,23039
2010,7,11,Slight,8210
2010,7,11,Moderate,4084
2010,7,11,Severe,2424
2010,7,12,None,21336
2010,7,12,Slight,7796
2010,7,12,Moderate,4441
2010,7,12,Severe,2666
2010,7,13,None,21232
2010,7,13,Slight,8511
2010,7,13,Moderate,4888
2010,7,13,Severe,3283
2010,7,14,None,17739
2010,7,14,Slight,8046
2010,7,14,Moderate,5309
2010,7,14,Severe,3797
2010,7,15,None,17906
2010,7,15,Slight,8008
2010,7,15,Moderate,5712
2010,7,15,Severe,4810
2010,7,16,None,17113
2010,7,16,Slight,7382
2010,7,16,Moderate,5555
2010,7,16,Severe,5167
2010,7,17,None,17474
2010,7,17,Slight,7357
2010,7,17,Moderate,6144
2010,7,17,Severe,6087
2010,7,18,None,16276
2010,7,18,Slight,7024
2010,7,18,Moderate,5787
2010,7,18,Severe,5883
2010,7,19,None,15353
2010,7,19,Slight,6485
2010,7,19,Moderate,5871
2010,7,19,Severe,5930
2010,7,20,None,10332
2010,7,20,Slight,4189
2010,7,20,Moderate,3785
2010,7,20,Severe,3730
2010,7,21,None,9042
2010,7,21,Slight,4141
2010,7,21,Moderate,3234
2010,7,21,Severe,2878
2010,7,22,None,5578
2010,7,22,Slight,2071
2010,7,22,Moderate,1242
2010,7,22,Severe,970
2010,7,23,None,2495
2010,7,23,Slight,747
2010,7,23,Moderate,526
2010,7,23,Severe,372
2010,8,0,None,779
2010,8,0,Slight,186
2010,8,0,Moderate,91
2010,8,0,Severe,33
2010,8,1,None,519
2010,8,1,Slight,99
2010,8,1,Moderate,41
2010,8,1,Severe,19
2010,8,2,None,65
2010,8,2,Slight,17
2010,8,2,Moderate,7
