yr,mon,arr_hour,delay_type,type_count
2010,8,6,Severe,293
2010,8,7,None,14254
2010,8,7,Slight,3279
2010,8,7,Moderate,808
2010,8,7,Severe,555
2010,8,8,None,19312
2010,8,8,Slight,4879
2010,8,8,Moderate,1505
2010,8,8,Severe,797
2010,8,9,None,25720
2010,8,9,Slight,6971
2010,8,9,Moderate,2404
2010,8,9,Severe,1186
2010,8,10,None,24954
2010,8,10,Slight,7326
2010,8,10,Moderate,2731
2010,8,10,Severe,1674
2010,8,11,None,24175
2010,8,11,Slight,6799
2010,8,11,Moderate,2826
2010,8,11,Severe,1494
2010,8,12,None,26032
2010,8,12,Slight,7455
2010,8,12,Moderate,3197
2010,8,12,Severe,1894
2010,8,13,None,23308
2010,8,13,Slight,7075
2010,8,13,Moderate,3177
2010,8,13,Severe,1740
2010,8,14,None,24154
2010,8,14,Slight,8027
2010,8,14,Moderate,3703
2010,8,14,Severe,1965
2010,8,15,None,21480
2010,8,15,Slight,7152
2010,8,15,Moderate,3619
2010,8,15,Severe,2073
2010,8,16,None,24483
2010,8,16,Slight,8699
2010,8,16,Moderate,4689
2010,8,16,Severe,2770
2010,8,17,None,21259
2010,8,17,Slight,7728
2010,8,17,Moderate,4832
2010,8,17,Severe,3054
2010,8,18,None,21301
2010,8,18,Slight,8194
2010,8,18,Moderate,5160
2010,8,18,Severe,3581
2010,8,19,None,20823
2010,8,19,Slight,7465
2010,8,19,Moderate,4741
2010,8,19,Severe,3630
2010,8,20,None,22052
2010,8,20,Slight,8170
2010,8,20,Moderate,5217
2010,8,20,Severe,4547
2010,8,21,None,17758
2010,8,21,Slight,6243
2010,8,21,Moderate,4245
2010,8,21,Severe,3885
2010,8,22,None,15563
2010,8,22,Slight,5557
2010,8,22,Moderate,3656
2010,8,22,Severe,3088
2010,8,23,None,12977
2010,8,23,Slight,4445
2010,8,23,Moderate,2924
2010,8,23,Severe,2390
2010,9,0,None,1847
2010,9,0,Slight,473
2010,9,0,Moderate,250
2010,9,0,Severe,155
2010,9,1,None,157
2010,9,1,Slight,57
2010,9,1,Moderate,25
2010,9,1,Severe,12
2010,9,2,None,44
2010,9,2,Slight,13
2010,9,2,Moderate,4
2010,9,2,Severe,4
2010,9,3,None,41
2010,9,3,Slight,7
2010,9,3,Moderate,5
2010,9,3,Severe,7
2010,9,4,None,206
2010,9,4,Slight,32
2010,9,4,Moderate,4
2010,9,4,Severe,3
2010,9,5,None,2327
2010,9,5,Slight,419
2010,9,5,Moderate,184
2010,9,5,Severe,130
2010,9,6,None,5307
2010,9,6,Slight,948
2010,9,6,Moderate,306
2010,9,6,Severe,171
2010,9,7,None,13314
2010,9,7,Slight,2990
2010,9,7,Moderate,760
2010,9,7,Severe,383
2010,9,8,None,18150
2010,9,8,Slight,4149
2010,9,8,Moderate,1162
2010,9,8,Severe,492
2010,9,9,None,24377
2010,9,9,Slight,6078
2010,9,9,Moderate,1858
2010,9,9,Severe,740
2010,9,10,None,24198
2010,9,10,Slight,6643
2010,9,10,Moderate,2154
2010,9,10,Severe,929
2010,9,11,None,24442
2010,9,11,Slight,6609
2010,9,11,Moderate,2431
2010,9,11,Severe,1129
2010,9,12,None,25239
2010,9,12,Slight,6594
2010,9,12,Moderate,2523
2010,9,12,Severe,1311
2010,9,13,None,23232
2010,9,13,Slight,6676
2010,9,13,Moderate,2779
2010,9,13,Severe,1376
2010,9,14,None,23441
2010,9,14,Slight,6983
2010,9,14,Moderate,2949
2010,9,14,Severe,1477
2010,9,15,None,22774
2010,9,15,Slight,6904
2010,9,15,Moderate,2966
2010,9,15,Severe,1662
2010,9,16,None,24761
2010,9,16,Slight,7789
2010,9,16,Moderate,3805
2010,9,16,Severe,2025
