yr,mon,u_carrier,delay_type,type_count
2010,4,OH,Slight,672
2010,4,OH,Moderate,705
2010,4,OH,Severe,638
2010,4,OO,None,36249
2010,4,OO,Slight,7850
2010,4,OO,Moderate,3351
2010,4,OO,Severe,2951
2010,4,TZ,None,0
2010,4,TZ,Slight,0
2010,4,TZ,Moderate,0
2010,4,TZ,Severe,0
2010,4,UA,None,30150
2010,4,UA,Slight,5412
2010,4,UA,Moderate,2465
2010,4,UA,Severe,2145
2010,4,US,None,31286
2010,4,US,Slight,5689
2010,4,US,Moderate,1787
2010,4,US,Severe,1210
2010,4,VX,None,0
2010,4,VX,Slight,0
2010,4,VX,Moderate,0
2010,4,VX,Severe,0
2010,4,WN,None,29096
2010,4,WN,Slight,21925
2010,4,WN,Moderate,7631
2010,4,WN,Severe,3429
2010,4,XE,None,21759
2010,4,XE,Slight,4866
2010,4,XE,Moderate,2506
2010,4,XE,Severe,1563
2010,4,YV,None,11172
2010,4,YV,Slight,1179
2010,4,YV,Moderate,743
2010,4,YV,Severe,790
2010,5,9E,None,10594
2010,5,9E,Slight,2444
2010,5,9E,Moderate,1428
2010,5,9E,Severe,1289
2010,5,AA,None,34831
2010,5,AA,Slight,10890
2010,5,AA,Moderate,5866
2010,5,AA,Severe,6054
2010,5,AS,None,8954
2010,5,AS,Slight,1597
2010,5,AS,Moderate,534
2010,5,AS,Severe,248
2010,5,B6,None,11995
2010,5,B6,Slight,3000
2010,5,B6,Moderate,1538
2010,5,B6,Severe,1488
2010,5,CO,None,15044
2010,5,CO,Slight,9307
2010,5,CO,Moderate,2437
2010,5,CO,Severe,1608
2010,5,DH,None,0
2010,5,DH,Slight,0
2010,5,DH,Moderate,0
2010,5,DH,Severe,0
2010,5,DL,None,47067
2010,5,DL,Slight,19965
2010,5,DL,Moderate,9065
2010,5,DL,Severe,6448
2010,5,EV,None,15260
2010,5,EV,Slight,2997
2010,5,EV,Moderate,1931
2010,5,EV,Severe,2199
2010,5,F9,None,5972
2010,5,F9,Slight,2500
2010,5,F9,Moderate,965
2010,5,F9,Severe,611
2010,5,FL,None,17984
2010,5,FL,Slight,3752
2010,5,FL,Moderate,1784
2010,5,FL,Severe,1460
2010,5,HA,None,413
2010,5,HA,Slight,101
2010,5,HA,Moderate,31
2010,5,HA,Severe,11
2010,5,HP,None,0
2010,5,HP,Slight,0
2010,5,HP,Moderate,0
2010,5,HP,Severe,0
2010,5,KH,None,0
2010,5,KH,Slight,0
2010,5,KH,Moderate,0
2010,5,KH,Severe,0
2010,5,MQ,None,21585
2010,5,MQ,Slight,6803
2010,5,MQ,Moderate,4427
2010,5,MQ,Severe,3617
2010,5,NW,None,0
2010,5,NW,Slight,0
2010,5,NW,Moderate,0
2010,5,NW,Severe,0
2010,5,OH,None,6807
2010,5,OH,Slight,803
2010,5,OH,Moderate,1070
2010,5,OH,Severe,1254
2010,5,OO,None,36265
2010,5,OO,Slight,8092
2010,5,OO,Moderate,3698
2010,5,OO,Severe,3566
2010,5,TZ,None,0
2010,5,TZ,Slight,0
2010,5,TZ,Moderate,0
2010,5,TZ,Severe,0
2010,5,UA,None,29203
2010,5,UA,Slight,5711
2010,5,UA,Moderate,2923
2010,5,UA,Severe,3157
2010,5,US,None,31301
2010,5,US,Slight,6205
2010,5,US,Moderate,2276
2010,5,US,Severe,1675
2010,5,VX,None,0
2010,5,VX,Slight,0
2010,5,VX,Moderate,0
2010,5,VX,Severe,0
2010,5,WN,None,28819
2010,5,WN,Slight,22014
2010,5,WN,Moderate,9168
2010,5,WN,Severe,4744
2010,5,XE,None,20743
2010,5,XE,Slight,5391
2010,5,XE,Moderate,2769
2010,5,XE,Severe,2954
2010,5,YV,None,9812
2010,5,YV,Slight,1095
2010,5,YV,Moderate,786
2010,5,YV,Severe,909
2010,6,9E,None,10123
2010,6,9E,Slight,3122
2010,6,9E,Moderate,1785
2010,6,9E,Severe,1700
2010,6,AA,None,32369
2010,6,AA,Slight,12084
2010,6,AA,Moderate,6131
2010,6,AA,Severe,6012
2010,6,AS,None,8814
2010,6,AS,Slight,2067
2010,6,AS,Moderate,670
2010,6,AS,Severe,454
