yr,mon,dep_hour,delay_type,type_count
2010,5,1,Slight,68
2010,5,1,Moderate,22
2010,5,1,Severe,13
2010,5,2,None,61
2010,5,2,Slight,6
2010,5,2,Moderate,3
2010,5,2,Severe,1
2010,5,3,None,33
2010,5,3,Slight,4
2010,5,3,Moderate,3
2010,5,3,Severe,1
2010,5,4,None,0
2010,5,4,Slight,0
2010,5,4,Moderate,0
2010,5,4,Severe,0
2010,5,5,None,3720
2010,5,5,Slight,432
2010,5,5,Moderate,94
2010,5,5,Severe,107
2010,5,6,None,32604
2010,5,6,Slight,4661
2010,5,6,Moderate,1121
2010,5,6,Severe,1040
2010,5,7,None,31685
2010,5,7,Slight,5709
2010,5,7,Moderate,1580
2010,5,7,Severe,1230
2010,5,8,None,30505
2010,5,8,Slight,6625
2010,5,8,Moderate,2084
2010,5,8,Severe,1643
2010,5,9,None,23111
2010,5,9,Slight,6388
2010,5,9,Moderate,2153
2010,5,9,Severe,1531
2010,5,10,None,25864
2010,5,10,Slight,7792
2010,5,10,Moderate,3056
2010,5,10,Severe,2043
2010,5,11,None,23247
2010,5,11,Slight,7512
2010,5,11,Moderate,3091
2010,5,11,Severe,1933
2010,5,12,None,22549
2010,5,12,Slight,7430
2010,5,12,Moderate,3432
2010,5,12,Severe,2424
2010,5,13,None,22520
2010,5,13,Slight,8416
2010,5,13,Moderate,3769
2010,5,13,Severe,3021
2010,5,14,None,18665
2010,5,14,Slight,8037
2010,5,14,Moderate,3896
2010,5,14,Severe,2853
2010,5,15,None,19885
2010,5,15,Slight,8513
2010,5,15,Moderate,4432
2010,5,15,Severe,3374
2010,5,16,None,18531
2010,5,16,Slight,7628
2010,5,16,Moderate,3934
2010,5,16,Severe,3474
2010,5,17,None,18593
2010,5,17,Slight,8426
2010,5,17,Moderate,4853
2010,5,17,Severe,4285
2010,5,18,None,18088
2010,5,18,Slight,7574
2010,5,18,Moderate,4462
2010,5,18,Severe,4353
2010,5,19,None,15674
2010,5,19,Slight,6877
2010,5,19,Moderate,4296
2010,5,19,Severe,4268
2010,5,20,None,10698
2010,5,20,Slight,4239
2010,5,20,Moderate,2995
2010,5,20,Severe,2683
2010,5,21,None,8670
2010,5,21,Slight,3782
2010,5,21,Moderate,2168
2010,5,21,Severe,2093
2010,5,22,None,5161
2010,5,22,Slight,1783
2010,5,22,Moderate,885
2010,5,22,Severe,689
2010,5,23,None,1730
2010,5,23,Slight,567
2010,5,23,Moderate,260
2010,5,23,Severe,178
2010,6,0,None,688
2010,6,0,Slight,268
2010,6,0,Moderate,133
2010,6,0,Severe,88
2010,6,1,None,409
2010,6,1,Slight,120
2010,6,1,Moderate,27
2010,6,1,Severe,20
2010,6,2,None,62
2010,6,2,Slight,12
2010,6,2,Moderate,4
2010,6,2,Severe,8
2010,6,3,None,47
2010,6,3,Slight,4
2010,6,3,Moderate,8
2010,6,3,Severe,4
2010,6,4,None,1
2010,6,4,Slight,0
2010,6,4,Moderate,0
2010,6,4,Severe,0
2010,6,5,None,3725
2010,6,5,Slight,632
2010,6,5,Moderate,121
2010,6,5,Severe,82
2010,6,6,None,31371
2010,6,6,Slight,6146
2010,6,6,Moderate,1287
2010,6,6,Severe,1014
2010,6,7,None,30586
2010,6,7,Slight,7345
2010,6,7,Moderate,1934
2010,6,7,Severe,1467
2010,6,8,None,28022
2010,6,8,Slight,8001
2010,6,8,Moderate,2366
2010,6,8,Severe,1727
2010,6,9,None,22186
2010,6,9,Slight,7600
2010,6,9,Moderate,2594
2010,6,9,Severe,1800
2010,6,10,None,23885
2010,6,10,Slight,9336
2010,6,10,Moderate,3607
2010,6,10,Severe,2293
2010,6,11,None,21304
2010,6,11,Slight,8968
2010,6,11,Moderate,3544
2010,6,11,Severe,2326
2010,6,12,None,20155
2010,6,12,Slight,8542
2010,6,12,Moderate,3959
2010,6,12,Severe,2677
2010,6,13,None,19819
