yr,mon,u_carrier,delay_type,type_count
2010,5,F9,Moderate,1157
2010,5,F9,Severe,690
2010,5,FL,None,16544
2010,5,FL,Slight,4707
2010,5,FL,Moderate,2121
2010,5,FL,Severe,1608
2010,5,HA,None,303
2010,5,HA,Slight,170
2010,5,HA,Moderate,72
2010,5,HA,Severe,11
2010,5,HP,None,0
2010,5,HP,Slight,0
2010,5,HP,Moderate,0
2010,5,HP,Severe,0
2010,5,KH,None,0
2010,5,KH,Slight,0
2010,5,KH,Moderate,0
2010,5,KH,Severe,0
2010,5,MQ,None,20300
2010,5,MQ,Slight,7459
2010,5,MQ,Moderate,4715
2010,5,MQ,Severe,3958
2010,5,NW,None,0
2010,5,NW,Slight,0
2010,5,NW,Moderate,0
2010,5,NW,Severe,0
2010,5,OH,None,4273
2010,5,OH,Slight,2487
2010,5,OH,Moderate,1747
2010,5,OH,Severe,1427
2010,5,OO,None,32065
2010,5,OO,Slight,11267
2010,5,OO,Moderate,4633
2010,5,OO,Severe,3656
2010,5,TZ,None,0
2010,5,TZ,Slight,0
2010,5,TZ,Moderate,0
2010,5,TZ,Severe,0
2010,5,UA,None,30458
2010,5,UA,Slight,4770
2010,5,UA,Moderate,2817
2010,5,UA,Severe,2949
2010,5,US,None,27539
2010,5,US,Slight,8173
2010,5,US,Moderate,3817
2010,5,US,Severe,1928
2010,5,VX,None,0
2010,5,VX,Slight,0
2010,5,VX,Moderate,0
2010,5,VX,Severe,0
2010,5,WN,None,38575
2010,5,WN,Slight,14396
2010,5,WN,Moderate,7488
2010,5,WN,Severe,4286
2010,5,XE,None,17215
2010,5,XE,Slight,7786
2010,5,XE,Moderate,3739
2010,5,XE,Severe,3117
2010,5,YV,None,8376
2010,5,YV,Slight,2332
2010,5,YV,Moderate,987
2010,5,YV,Severe,907
2010,6,9E,None,9439
2010,6,9E,Slight,3435
2010,6,9E,Moderate,2146
2010,6,9E,Severe,1710
2010,6,AA,None,32245
2010,6,AA,Slight,11080
2010,6,AA,Moderate,6918
2010,6,AA,Severe,6353
2010,6,AS,None,8316
2010,6,AS,Slight,2369
2010,6,AS,Moderate,860
2010,6,AS,Severe,460
2010,6,B6,None,12692
2010,6,B6,Slight,2363
2010,6,B6,Moderate,1684
2010,6,B6,Severe,1645
2010,6,CO,None,16202
2010,6,CO,Slight,7345
2010,6,CO,Moderate,3611
2010,6,CO,Severe,1934
2010,6,DH,None,0
2010,6,DH,Slight,0
2010,6,DH,Moderate,0
2010,6,DH,Severe,0
2010,6,DL,None,41515
2010,6,DL,Slight,20627
2010,6,DL,Moderate,13996
2010,6,DL,Severe,9680
2010,6,EV,None,15125
2010,6,EV,Slight,3552
2010,6,EV,Moderate,2309
2010,6,EV,Severe,2257
2010,6,F9,None,5206
2010,6,F9,Slight,2685
2010,6,F9,Moderate,1421
2010,6,F9,Severe,760
2010,6,FL,None,15399
2010,6,FL,Slight,5261
2010,6,FL,Moderate,2985
2010,6,FL,Severe,2121
2010,6,HA,None,267
2010,6,HA,Slight,167
2010,6,HA,Moderate,110
2010,6,HA,Severe,21
2010,6,HP,None,0
2010,6,HP,Slight,0
2010,6,HP,Moderate,0
2010,6,HP,Severe,0
2010,6,KH,None,0
2010,6,KH,Slight,0
2010,6,KH,Moderate,0
2010,6,KH,Severe,0
2010,6,MQ,None,17004
2010,6,MQ,Slight,7986
2010,6,MQ,Moderate,5260
2010,6,MQ,Severe,4934
2010,6,NW,None,0
2010,6,NW,Slight,0
2010,6,NW,Moderate,0
2010,6,NW,Severe,0
2010,6,OH,None,3842
2010,6,OH,Slight,2224
2010,6,OH,Moderate,1569
2010,6,OH,Severe,1570
2010,6,OO,None,28902
2010,6,OO,Slight,13145
2010,6,OO,Moderate,5963
2010,6,OO,Severe,4818
2010,6,TZ,None,0
2010,6,TZ,Slight,0
2010,6,TZ,Moderate,0
2010,6,TZ,Severe,0
2010,6,UA,None,27901
2010,6,UA,Slight,5463
2010,6,UA,Moderate,3645
2010,6,UA,Severe,4058
2010,6,US,None,27067
2010,6,US,Slight,8107
2010,6,US,Moderate,3794
2010,6,US,Severe,2413
2010,6,VX,None,0
2010,6,VX,Slight,0
2010,6,VX,Moderate,0
2010,6,VX,Severe,0
2010,6,WN,None,37697
2010,6,WN,Slight,13761
2010,6,WN,Moderate,7857
2010,6,WN,Severe,5255
2010,6,XE,None,15235
2010,6,XE,Slight,8504
2010,6,XE,Moderate,5156
2010,6,XE,Severe,4314
2010,6,YV,None,7396
2010,6,YV,Slight,2393
2010,6,YV,Moderate,1107
2010,6,YV,Severe,1000
2010,7,9E,None,10457
2010,7,9E,Slight,3296
2010,7,9E,Moderate,2106
2010,7,9E,Severe,1662
2010,7,AA,None,34656
2010,7,AA,Slight,11942
2010,7,AA,Moderate,7176
2010,7,AA,Severe,5517
2010,7,AS,None,9172
2010,7,AS,Slight,2224
2010,7,AS,Moderate,810
2010,7,AS,Severe,431
2010,7,B6,None,11536
2010,7,B6,Slight,3671
2010,7,B6,Moderate,2510
2010,7,B6,Severe,2433
2010,7,CO,None,15450
2010,7,CO,Slight,7527
2010,7,CO,Moderate,4097
2010,7,CO,Severe,2880
2010,7,DH,None,0
2010,7,DH,Slight,0
2010,7,DH,Moderate,0
2010,7,DH,Severe,0
2010,7,DL,None,43969
2010,7,DL,Slight,19731
2010,7,DL,Moderate,13414
2010,7,DL,Severe,10525
2010,7,EV,None,15836
2010,7,EV,Slight,3339
2010,7,EV,Moderate,2241
2010,7,EV,Severe,2790
2010,7,F9,None,5320
2010,7,F9,Slight,2798
2010,7,F9,Moderate,1422
2010,7,F9,Severe,913
2010,7,FL,None,16069
2010,7,FL,Slight,5222
2010,7,FL,Moderate,2822
2010,7,FL,Severe,2410
2010,7,HA,None,333
2010,7,HA,Slight,191
2010,7,HA,Moderate,56
2010,7,HA,Severe,38
2010,7,HP,None,0
2010,7,HP,Slight,0
2010,7,HP,Moderate,0
2010,7,HP,Severe,0
2010,7,KH,None,0
2010,7,KH,Slight,0
